# Etrue_lo Etrue_hi Ereco_lo Ereco_hi P(Ereco|Etrue)
3.16227766e+05 4.46683592e+05 1.77827941e+06 2.51188643e+06 9.50550760e-06
3.16227766e+05 4.46683592e+05 2.51188643e+06 3.54813389e+06 0.00000000e+00
3.16227766e+05 4.46683592e+05 3.54813389e+06 5.01187234e+06 0.00000000e+00
3.16227766e+05 4.46683592e+05 5.01187234e+06 7.07945784e+06 0.00000000e+00
3.16227766e+05 4.46683592e+05 7.07945784e+06 1.00000000e+07 0.00000000e+00
4.46683592e+05 6.30957344e+05 1.00000000e+04 1.41253754e+04 9.39903198e-05
4.46683592e+05 6.30957344e+05 1.41253754e+04 1.99526231e+04 4.54367387e-04
4.46683592e+05 6.30957344e+05 1.99526231e+04 2.81838293e+04 1.36891090e-03
4.46683592e+05 6.30957344e+05 2.81838293e+04 3.98107171e+04 3.08089821e-03
4.46683592e+05 6.30957344e+05 3.98107171e+04 5.62341325e+04 9.24103226e-03
4.46683592e+05 6.30957344e+05 5.62341325e+04 7.94328235e+04 2.80036928e-02
4.46683592e+05 6.30957344e+05 7.94328235e+04 1.12201845e+05 5.06561372e-02
4.46683592e+05 6.30957344e+05 1.12201845e+05 1.58489319e+05 7.90859091e-02
4.46683592e+05 6.30957344e+05 1.58489319e+05 2.23872114e+05 1.01709188e-01
4.46683592e+05 6.30957344e+05 2.23872114e+05 3.16227766e+05 1.22248582e-01
4.46683592e+05 6.30957344e+05 3.16227766e+05 4.46683592e+05 1.90840726e-01
4.46683592e+05 6.30957344e+05 4.46683592e+05 6.30957344e+05 3.38700036e-01
4.46683592e+05 6.30957344e+05 6.30957344e+05 8.91250938e+05 7.28358553e-02
4.46683592e+05 6.30957344e+05 8.91250938e+05 1.25892541e+06 1.33786774e-03
4.46683592e+05 6.30957344e+05 1.25892541e+06 1.77827941e+06 2.59042515e-04
4.46683592e+05 6.30957344e+05 1.77827941e+06 2.51188643e+06 6.32004524e-05
4.46683592e+05 6.30957344e+05 2.51188643e+06 3.54813389e+06 1.25136997e-05
4.46683592e+05 6.30957344e+05 3.54813389e+06 5.01187234e+06 8.05021876e-06
4.46683592e+05 6.30957344e+05 5.01187234e+06 7.07945784e+06 0.00000000e+00
4.46683592e+05 6.30957344e+05 7.07945784e+06 1.00000000e+07 0.00000000e+00
6.30957344e+05 8.91250938e+05 1.00000000e+04 1.41253754e+04 1.88247204e-04
6.30957344e+05 8.91250938e+05 1.41253754e+04 1.99526231e+04 4.56603068e-04
6.30957344e+05 8.91250938e+05 1.99526231e+04 2.81838293e+04 8.56525736e-04
6.30957344e+05 8.91250938e+05 2.81838293e+04 3.98107171e+04 3.68029100e-03
6.30957344e+05 8.91250938e+05 3.98107171e+04 5.62341325e+04 7.25308908e-03
6.30957344e+05 8.91250938e+05 5.62341325e+04 7.94328235e+04 1.98878318e-02
6.30957344e+05 8.91250938e+05 7.94328235e+04 1.12201845e+05 3.82458018e-02
6.30957344e+05 8.91250938e+05 1.12201845e+05 1.58489319e+05 6.12118309e-02
6.30957344e+05 8.91250938e+05 1.58489319e+05 2.23872114e+05 8.38000313e-02
6.30957344e+05 8.91250938e+05 2.23872114e+05 3.16227766e+05 9.65691016e-02
6.30957344e+05 8.91250938e+05 3.16227766e+05 4.46683592e+05 1.20823737e-01
6.30957344e+05 8.91250938e+05 4.46683592e+05 6.30957344e+05 1.79660103e-01
6.30957344e+05 8.91250938e+05 6.30957344e+05 8.91250938e+05 3.15477778e-01
6.30957344e+05 8.91250938e+05 8.91250938e+05 1.25892541e+06 7.03431507e-02
6.30957344e+05 8.91250938e+05 1.25892541e+06 1.77827941e+06 1.26603564e-03
6.30957344e+05 8.91250938e+05 1.77827941e+06 2.51188643e+06 1.81864100e-04
6.30957344e+05 8.91250938e+05 2.51188643e+06 3.54813389e+06 2.67196730e-05
6.30957344e+05 8.91250938e+05 3.54813389e+06 5.01187234e+06 5.84299645e-05
6.30957344e+05 8.91250938e+05 5.01187234e+06 7.07945784e+06 1.28290368e-05
6.30957344e+05 8.91250938e+05 7.07945784e+06 1.00000000e+07 0.00000000e+00
8.91250938e+05 1.25892541e+06 1.00000000e+04 1.41253754e+04 3.04051549e-04
8.91250938e+05 1.25892541e+06 1.41253754e+04 1.99526231e+04 3.98814483e-04
