prior_type,phi_mult,phi_true,gamma_true,seed,gamma_post_mean,gamma_ci_lo,gamma_ci_hi,gamma_ci_width,gamma_bias,gamma_covered_90,accept_rate,rhat_max,n_events
flat,1.0,2.06e-18,2.1,2,2.009295731951928,1.5396389870993257,2.298256386952501,0.758617399853176,-0.0907042680480727,1.0,0.6008333333333333,1.4788368976951796,1213
flat,1.0,2.06e-18,2.1,3,2.2403982960223487,1.942560493806808,2.457419312380414,0.514858818573606,0.1403982960223486,1.0,0.6038,1.268028003914638,1169
flat,1.0,2.06e-18,2.1,4,2.1821974472047887,1.8398063228033688,2.4257300141818465,0.5859236913784773,0.0821974472047886,1.0,0.6079666666666667,1.139600268200251,1151
flat,1.0,2.06e-18,2.3,0,2.117407412302703,1.5785256397797434,2.459636831699388,0.8811111919196444,-0.1825925876972967,1.0,0.6316416666666667,1.2618102718780186,1098
flat,1.0,2.06e-18,2.3,1,3.1349990447711296,2.0068244782334483,4.470087290731126,2.463262812497677,0.8349990447711297,1.0,0.6238833333333333,1.228991169784929,1105
flat,1.0,2.06e-18,2.3,2,2.3478232383219386,1.7863883287007898,3.5035644019248777,1.717176073224088,0.0478232383219388,1.0,0.6160833333333333,1.3577497004911954,1158
flat,1.0,2.06e-18,2.3,3,3.459017183067638,2.183299808892791,4.68326623477287,2.49996642588008,1.1590171830676383,1.0,0.5486333333333333,1.3911130124150777,1121
flat,1.0,2.06e-18,2.3,4,2.938707851839553,2.1355300767172536,4.337517046384226,2.2019869696669727,0.6387078518395533,1.0,0.5947166666666667,1.1885196822724455,1104
flat,1.0,2.06e-18,2.5,0,2.481159264358689,2.20258919147538,2.7616548637799507,0.5590656723045706,-0.0188407356413105,1.0,0.992625,3.0227566883754564,1072
flat,1.0,2.06e-18,2.5,1,2.8159318912062905,2.45107651965,3.552806326013761,1.1017298063637613,0.3159318912062905,1.0,0.9956875,2.861591946404712,1081
flat,1.0,2.06e-18,2.5,2,2.393772007943925,2.1702844407627264,2.6015640810298235,0.4312796402670971,-0.1062279920560751,1.0,0.9933125,2.3255760732254207,1130
flat,1.0,2.06e-18,2.5,3,3.662947631211334,2.649796499308064,4.596446917344417,1.946650418036353,1.1629476312113338,0.0,0.6048083333333333,1.0791370462164578,1091
flat,1.0,2.06e-18,2.5,4,3.323578994295622,2.150602787658657,4.408866516204814,2.258263728546156,0.8235789942956222,1.0,0.6243749999999999,1.3767819407033697,1074
flat,1.0,2.06e-18,2.7,0,3.497797308692117,2.6283472243758856,4.274796063087078,1.6464488387111924,0.7977973086921168,1.0,0.6042666666666666,1.1481294223824023,1049
flat,1.0,2.06e-18,2.7,1,3.485025460923402,2.4493219818604706,4.39509352807443,1.945771546213959,0.7850254609234018,1.0,0.5655583333333334,1.119315023795428,1067
flat,1.0,2.06e-18,2.7,2,3.5001516424910863,2.899501326596538,3.8947803993721473,0.9952790727756092,0.8001516424910862,0.0,0.64425,1.2062810867722198,1108
flat,1.0,2.06e-18,2.7,3,3.555472910984162,2.620780418646495,4.369496211203691,1.7487157925571957,0.8554729109841617,1.0,0.6072416666666667,1.2313777310089973,1076
flat,1.0,2.06e-18,2.7,4,3.369576238669004,2.3961621383644798,4.309195735825932,1.9130335974614523,0.6695762386690038,1.0,0.584425,1.1390878414196912,1057
flat,1.0,2.06e-18,2.9,0,3.489853708502148,2.61449829341556,4.2799257664086,1.66542747299304,0.5898537085021478,1.0,0.602375,1.165471590978592,1043
flat,1.0,2.06e-18,2.9,1,3.490787650093964,2.758565884015318,4.15189213786073,1.393326253845412,0.5907876500939637,1.0,0.6260916666666667,1.1630267505719998,1062
flat,1.0,2.06e-18,2.9,2,3.4668033420152877,2.675783524746309,4.081676421620555,1.4058928968742457,0.5668033420152874,1.0,0.6284500000000001,1.3381319001607526,1098
flat,1.0,2.06e-18,2.9,3,3.5757501020790383,2.768678457766092,4.459651814271505,1.6909733565054137,0.6757501020790384,1.0,0.5935416666666666,1.244027975494557,1069
flat,1.0,2.06e-18,2.9,4,3.4330291675684625,2.670010707567409,4.186043109487053,1.5160324019196438,0.5330291675684626,1.0,0.6327500000000001,1.269876420819562,1058
flat,2.0,4.12e-18,2.1,0,1.944950044376303,1.6215475061426825,2.1554380846939964,0.5338905785513139,-0.155049955623697,1.0,0.671475,1.1856665459587947,1404
flat,2.0,4.12e-18,2.1,1,2.058869948203156,1.8538388164640185,2.221293913461419,0.3674550969974006,-0.0411300517968444,1.0,0.5939416666666666,1.3679573316043847,1428
flat,2.0,4.12e-18,2.1,2,2.062746616939782,1.8097017818123176,2.247977716725277,0.4382759349129599,-0.0372533830602179,1.0,0.5875083333333333,1.7513217281766107,1470
flat,2.0,4.12e-18,2.1,3,2.1196380081992467,1.8539477173555683,2.284938183978546,0.4309904666229776,0.0196380081992466,1.0,0.5672499999999999,1.2390007499117837,1433
flat,2.0,4.12e-18,2.1,4,2.059291583679903,1.7712379882425742,2.2393749492572246,0.4681369610146504,-0.040708416320097,1.0,0.628175,1.4996988373717457,1419
flat,2.0,4.12e-18,2.3,0,2.123479761623633,1.7077798372286197,2.4013155349775723,0.6935356977489529,-0.1765202383763666,1.0,0.6344083333333334,1.265001072761936,1297
